,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
194314,Snacks,Snack Bars,,,FERRERO GROUP,KEEBLER SWEET TREATS,UNKNOWN_194314
194469,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,ANCIENT NUTRITION,ANCIENT NUTRITION,UNKNOWN_194469
195544,Health & Wellness,Hair Care,Hair Color,,HENKEL,SCHWARZKOPF,UNKNOWN_195544
195769,Snacks,Chips,Potato Chips,,PEPSICO,MINIS,UNKNOWN_195769
195844,Snacks,Dips & Salsa,Cheese Dip,,PEPSICO,TOSTITOS,UNKNOWN_195844
196349,Health & Wellness,Hair Removal,Razors,,PROCTER & GAMBLE,JOY+GLEE,UNKNOWN_196349
196483,Beverages,Water,Sparkling Water,,PEPSICO,BUBLY SPARKLING WATER,UNKNOWN_196483
196503,Health & Wellness,Bath & Body,,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_196503
196535,Health & Wellness,Skin Care,,,L'OREAL,MAYBELLINE,UNKNOWN_196535
196858,Snacks,Candy,Chocolate Candy,,KRAFTHEINZ,BAILEYS COFFEE PRODUCTS,UNKNOWN_196858
196980,Snacks,,,,CAMPBELL SOUP COMPANY,LANCE,UNKNOWN_196980
197093,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,PROCTER & GAMBLE,SK-II,UNKNOWN_197093
197405,Health & Wellness,Medical Supplies & Equipment,,,LIFESCAN,ONETOUCH,UNKNOWN_197405
198167,Health & Wellness,,,,PROCTER & GAMBLE,ARC,UNKNOWN_198167
198593,Health & Wellness,Hair Care,Shampoo,,UNILEVER,TRESEMMÉ,UNKNOWN_198593
198819,Snacks,Nuts & Seeds,Hazelnuts,,,,UNKNOWN_198819
199072,Health & Wellness,,,,COTY,MARC JACOBS FRAGRANCE & BODY CARE,UNKNOWN_199072
199077,Health & Wellness,,,,HALEON,CALTRATE,UNKNOWN_199077
199142,Snacks,,,,CAMPBELL SOUP COMPANY,PEPPERIDGE FARM,UNKNOWN_199142
199281,Health & Wellness,Bath & Body,Body Wash,,ELIDA BEAUTY,ST. IVES,UNKNOWN_199281
199294,Snacks,,,,MONDELĒZ INTERNATIONAL,MALLOMARS,UNKNOWN_199294
200257,Health & Wellness,Bath & Body,Hand & Body Lotions,,COTY,HUGO BOSS FRAGRANCE & BODY CARE,UNKNOWN_200257
200394,Health & Wellness,Oral Care,,,JOHNSON & JOHNSON,LISTERINE,UNKNOWN_200394
200566,Health & Wellness,Hair Care,Hair Styling Products,,PROCTER & GAMBLE,PANTENE,UNKNOWN_200566
200609,Snacks,Snack Cakes,,,MONDELĒZ INTERNATIONAL,7DAYS,UNKNOWN_200609
201470,Health & Wellness,Deodorant & Antiperspirant,Men's Deodorant & Antiperspirant,,COTY,NAUTICA FRAGRANCE & BODY CARE,UNKNOWN_201470
202147,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,"BEIERSDORF, INC.",CHANTECAILLE,UNKNOWN_202147
202167,Health & Wellness,Bath & Body,,,"BEIERSDORF, INC.",NIVEA,UNKNOWN_202167
202346,Health & Wellness,,,,L'OREAL,MAYBELLINE,UNKNOWN_202346
202937,Health & Wellness,Medicines & Treatments,,,ABBOTT,JEVITY,UNKNOWN_202937
203122,Snacks,Pretzels,,,GENERAL MILLS,ANNIE'S HOMEGROWN GROCERY,UNKNOWN_203122
203474,Health & Wellness,Sexual Health,,,RECKITT BENCKISER,DUREX,UNKNOWN_203474
203632,Snacks,,,,FERRERO GROUP,TIC TAC,UNKNOWN_203632
204182,Snacks,,,,TH FOODS,CRUNCHMASTER,UNKNOWN_204182
204970,Health & Wellness,,,,PROCTER & GAMBLE,STRESSBALLS,UNKNOWN_204970
205103,Health & Wellness,Deodorant & Antiperspirant,Women's Deodorant & Antiperspirant,,COTY,KATY PERRY FRAGRANCE & BODY CARE,UNKNOWN_205103
205140,Health & Wellness,Hair Care,Hair Treatments,,HENKEL,PRAVANA,UNKNOWN_205140
205505,Health & Wellness,Bath & Body,Body Wash,,CHURCH & DWIGHT,HERO COSMETICS,UNKNOWN_205505
205576,Health & Wellness,,,,COTY,MIU MIU FRAGRANCE & BODY CARE,UNKNOWN_205576
205720,Health & Wellness,Hair Care,Hair Treatments,,JOHNSON & JOHNSON,LE PETIT MARSEILLAIS,UNKNOWN_205720
205821,Health & Wellness,,,,R3SET,R3SET,UNKNOWN_205821
205890,Health & Wellness,Oral Care,Toothpaste,,JOHNSON & JOHNSON,LISTERINE,UNKNOWN_205890
206129,Health & Wellness,Medicines & Treatments,,,ABBOTT,SUPLENA,UNKNOWN_206129
206135,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,BISCOS,UNKNOWN_206135
206408,Snacks,,,,FERRARA CANDY COMPANY,NERDS CANDY,UNKNOWN_206408
206739,Snacks,Snack Mixes,,,GENERAL MILLS,GARDETTOS,UNKNOWN_206739
206870,Health & Wellness,Hair Care,Hair Styling Products,,JOHNSON & JOHNSON,OGX,UNKNOWN_206870
206986,Snacks,Puffed Snacks,,,PEPSICO,SIMPLY,UNKNOWN_206986
207211,Snacks,Snack Bars,Cereal Bars & Breakfast Biscuits,,MONDELĒZ INTERNATIONAL,BELVITA,UNKNOWN_207211
207299,Health & Wellness,Bath & Body,Hand & Body Lotions,,JOHNSON & JOHNSON,LE PETIT MARSEILLAIS,UNKNOWN_207299
207345,Health & Wellness,Bath & Body,Bath & Body Gift Sets,,COTY,"GUCCI FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_207345
207459,Health & Wellness,Hair Care,,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_207459
207466,Snacks,Snack Cakes,Cakes & Truffles Snack Cakes,,BIMBO,BIMBO SWEET BAKED GOODS,UNKNOWN_207466
208168,Snacks,,,,THE JM SMUCKER COMPANY,DUNKIN' COFFEE AT HOME,UNKNOWN_208168
208175,Snacks,Puffed Snacks,,,,,UNKNOWN_208175
208192,Snacks,Snack Mixes,,,PEPSICO,SABRITAS,UNKNOWN_208192
208279,Health & Wellness,Hair Care,Hair Tools,Hair Brushes & Combs,,,UNKNOWN_208279
208355,Snacks,Puffed Snacks,Popcorn,,GENERAL MILLS,PILLSBURY,UNKNOWN_208355
208420,Snacks,Snack Bars,Performance & Protein Bars,,GENERAL MILLS,PROTEIN ONE,UNKNOWN_208420
208440,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,GENERAL MILLS,NATURE VALLEY,UNKNOWN_208440
208638,Health & Wellness,Hair Removal,,,PROCTER & GAMBLE,JOY+GLEE,UNKNOWN_208638
208834,Health & Wellness,Bath & Body,Hand Sanitizer Wipes,,UNILEVER,DOVE,UNKNOWN_208834
209029,Beverages,,,,PEPSICO,PEPSI,UNKNOWN_209029
209140,Health & Wellness,First Aid,Ointments & Liquids,,"BEIERSDORF, INC.",AQUAPHOR,UNKNOWN_209140
210256,Snacks,Candy,Mints,,MARS WRIGLEY,ALTOIDS,UNKNOWN_210256
210845,Snacks,Puffed Snacks,,,PEPSICO,MINIS,UNKNOWN_210845
210951,Health & Wellness,Skin Care,Lip Balms & Treatments,Lip Balms,MINERAL FUSION,MINERAL FUSION,UNKNOWN_210951
211325,Health & Wellness,Bath & Body,,,JOHNSON & JOHNSON,LUBRIDERM,UNKNOWN_211325
211345,Snacks,Candy,,,MARS WRIGLEY,BIG RED,UNKNOWN_211345
211649,Health & Wellness,Skin Care,,,COTY,KYLIE COSMETICS,UNKNOWN_211649
212223,Health & Wellness,,,,ELIDA BEAUTY,Q-TIPS,UNKNOWN_212223
212455,Health & Wellness,,,,ABBOTT,HI-CAL,UNKNOWN_212455
212691,Health & Wellness,Bath & Body,Bath Sponges & Loofahs,,COTY,KYLIE SKIN,UNKNOWN_212691
212767,Snacks,Crackers,,,MONDELĒZ INTERNATIONAL,HUS KITCHEN,UNKNOWN_212767
212906,Snacks,Chips,Corn Chips,,PEPSICO,LAY'S,UNKNOWN_212906
213527,Health & Wellness,Skin Care,,,COTY,SALLY HANSEN,UNKNOWN_213527
214174,Snacks,,,,MONDELĒZ INTERNATIONAL,NEWTONS,UNKNOWN_214174
214469,Snacks,Chips,,,HORMEL FOODS,CHI-CHI'S,UNKNOWN_214469
214537,Snacks,Candy,Gum,,MARS WRIGLEY,FREEDENT,UNKNOWN_214537
214630,Health & Wellness,First Aid,Ointments & Liquids,,BOIRON,BOIRON,UNKNOWN_214630
214734,Snacks,Nuts & Seeds,,,BLUE DIAMOND GROWERS,BLUE DIAMOND ALMONDS,UNKNOWN_214734
214926,Health & Wellness,Medicines & Treatments,,,BAYER,AFRIN®,UNKNOWN_214926
215037,Snacks,Chips,,,PEPSICO,DORITOS,UNKNOWN_215037
215137,Health & Wellness,Bath & Body,Body Wash,,UNILEVER,DOVE MEN+CARE,UNKNOWN_215137
215365,Health & Wellness,,,,SEATTLE GUMMY COMPANY,SLUMBER SHOTS,UNKNOWN_215365
215427,Health & Wellness,Hair Care,Dry Shampoo,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_215427
215457,Snacks,Crackers,Wheat Crackers,,KELLANOVA,TOASTEDS,UNKNOWN_215457
215603,Health & Wellness,First Aid,,,RECKITT BENCKISER,DETTOL,UNKNOWN_215603
215762,Health & Wellness,,,,CHURCH & DWIGHT,L'IL CRITTERS,UNKNOWN_215762
215805,Snacks,Puffed Snacks,Popcorn,Already Popped Popcorn,GENERAL MILLS,COCOA PUFFS,UNKNOWN_215805
216517,Health & Wellness,,,,,,UNKNOWN_216517
216549,Snacks,Snack Cakes,,,BIMBO,ENTENMANN'S SWEET BAKED GOODS,UNKNOWN_216549
216702,Snacks,Dips & Salsa,Salsa,,GENERAL MILLS,MUIR GLEN,UNKNOWN_216702
216814,Health & Wellness,Hair Care,,,PROCTER & GAMBLE,NATIVE,UNKNOWN_216814
216830,Health & Wellness,Medicines & Treatments,Pain & Fever Medicines & Treatments,,,,UNKNOWN_216830
216921,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,Cold & Flu Medicines & Treatments,HALEON,ROBITUSSIN,UNKNOWN_216921
217573,Snacks,Snack Bars,Cereal Bars & Breakfast Biscuits,,GENERAL MILLS,CHEX MIX,UNKNOWN_217573
217759,Health & Wellness,Hair Care,,,"SC JOHNSON & SON, INC",METHOD,UNKNOWN_217759
218273,Health & Wellness,Bath & Body,Liquid Hand Soap,,UNILEVER,FIND YOUR HAPPY PLACE,UNKNOWN_218273
218446,Snacks,Chips,,,4505 MEATS,4505 MEATS,UNKNOWN_218446
218591,Health & Wellness,,,,UNILEVER,THE RIGHT TO SHOWER,UNKNOWN_218591
218698,Health & Wellness,Hair Care,Shampoo,,UNILEVER,NUBIAN HERITAGE,UNKNOWN_218698
218764,Health & Wellness,Skin Care,Sunscreen,,JOHNSON & JOHNSON,NEUTROGENA,UNKNOWN_218764
218784,Snacks,Candy,,,FERRARA CANDY COMPANY,GOBSTOPPER,UNKNOWN_218784
218823,Health & Wellness,Hair Removal,Hair Removal Accessories,,PROCTER & GAMBLE,GILLETTE,UNKNOWN_218823
218997,Health & Wellness,Medicines & Treatments,Sleeping & Snoring,Sleep Aids,JOHNSON & JOHNSON,ZARBEE'S,UNKNOWN_218997
219026,Snacks,,,,PEPSICO,ROLD GOLD PRETZELS,UNKNOWN_219026
219085,Snacks,,,,KRAFTHEINZ,CHEEZ WHIZ,UNKNOWN_219085
219851,Snacks,,,,FERRARA CANDY COMPANY,LAFFY TAFFY,UNKNOWN_219851
220254,Snacks,Chips,Potato Chips,,PEPSICO,SABRITAS,UNKNOWN_220254
220270,Snacks,Chips,Whole Grain Chips,,PEPSICO,SABRITONES,UNKNOWN_220270
220414,Health & Wellness,Hair Care,Shampoo & Conditioner Combinations,,PROCTER & GAMBLE,PANTENE,UNKNOWN_220414
221154,Snacks,,,,BIMBO,BIMBO SWEET BAKED GOODS,UNKNOWN_221154
221202,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,HALEON,CENTRUM,UNKNOWN_221202
221364,Health & Wellness,Menstrual Care,Menstrual Care Underwear,,,,UNKNOWN_221364
221372,Health & Wellness,Oral Care,,,CHURCH & DWIGHT,THERABREATH,UNKNOWN_221372
221599,Snacks,Dips & Salsa,Ranch Dip,,HP HOOD,HELUVA GOOD!,UNKNOWN_221599
221942,Health & Wellness,,,,GEORGIA-PACIFIC,ANGEL SOFT,UNKNOWN_221942
222279,Snacks,Fruit & Vegetable Snacks,Dried Fruit,,,,UNKNOWN_222279
222817,Snacks,Dessert Toppings,Ice Cream Sauces & Syrups,,,,UNKNOWN_222817
223307,Snacks,Candy,,,THE HERSHEY COMPANY,ZERO,UNKNOWN_223307
223378,Health & Wellness,Hair Care,Conditioner,,ELIDA BEAUTY,TONI&GUY,UNKNOWN_223378
223428,Beverages,Carbonated Soft Drinks,Cola,,THE COCA-COLA COMPANY,COCA-COLA,UNKNOWN_223428
223429,Snacks,Candy,,,FERRERO GROUP,OH HENRY,UNKNOWN_223429
223654,Snacks,Chips,Tortilla Chips,,OLÉ MEXICAN FOODS INC,LA BANDERITA,UNKNOWN_223654
223713,Snacks,Dips & Salsa,Ranch Dip,,THE CLOROX COMPANY,HIDDEN VALLEY RANCH,UNKNOWN_223713
223731,Health & Wellness,Adult Incontinence,Adult Incontinence Furniture Pads,,KIMBERLY CLARK,DEPEND,UNKNOWN_223731
223810,Health & Wellness,Skin Care,Facial Cleansing Kits,,COLGATE-PALMOLIVE,PCA SKIN,UNKNOWN_223810
224110,Health & Wellness,,,,PHARMAVITE LLC,NATURE MADE®,UNKNOWN_224110
224269,Health & Wellness,Skin Care,Skin Toners & Astringents,Skin Toners,COTY,KYLIE SKIN,UNKNOWN_224269
224515,Snacks,Jerky & Dried Meat,Jerky & Bites,,CASEY'S GENERAL STORE,CASEY'S GENERAL STORE,UNKNOWN_224515
224559,Health & Wellness,,,,GROVE COLLABORATIVE,GROVE CO.,UNKNOWN_224559
224785,Health & Wellness,Eye Care,,,BAUSCH + LOMB CORPORATION,BOSTON,UNKNOWN_224785
224900,Health & Wellness,,,,ELIDA BEAUTY,TONI&GUY,UNKNOWN_224900
224963,Snacks,Dips & Salsa,,,PEPSICO,LAY'S,UNKNOWN_224963
225085,Health & Wellness,Skin Care,Body Oil,,PROCTER & GAMBLE,THE ART OF SHAVING,UNKNOWN_225085
225267,Health & Wellness,Oral Care,,,NEWELL BRANDS,NUK,UNKNOWN_225267
225349,Health & Wellness,Bath & Body,Body Wash,,"SC JOHNSON & SON, INC",METHOD,UNKNOWN_225349
225358,Snacks,Crackers,Sandwich Crackers,,FERRERO GROUP,KEEBLER SWEET TREATS,UNKNOWN_225358
225463,Snacks,Dips & Salsa,,,HORMEL FOODS,HERDEZ,UNKNOWN_225463
225543,Health & Wellness,Eye Care,Eyeglass Cleaning Kits,,BAUSCH + LOMB CORPORATION,BAUSCH + LOMB,UNKNOWN_225543
225561,Health & Wellness,Hair Care,Shampoo,,ELIDA BEAUTY,TIGI,UNKNOWN_225561
225612,Health & Wellness,Skin Care,Skin Toners & Astringents,,"BEIERSDORF, INC.",LA PRAIRIE,UNKNOWN_225612
225885,Health & Wellness,Medicines & Treatments,,,JOHNSON & JOHNSON,TYLENOL,UNKNOWN_225885
225958,Snacks,Chips,Tortilla Chips,,GENERAL MILLS,OLD EL PASO,UNKNOWN_225958
226369,Health & Wellness,,,,PROCTER & GAMBLE,NATIVE,UNKNOWN_226369
226446,Health & Wellness,Skin Care,Lip Balms & Treatments,,PROCTER & GAMBLE,FIRST AID BEAUTY,UNKNOWN_226446
226534,Snacks,Candy,Confection Candy,,FERRARA CANDY COMPANY,NERDS CANDY,UNKNOWN_226534
226878,Snacks,Chips,,,KELLANOVA,CLUB,UNKNOWN_226878
226968,Snacks,Candy,,,FERRARA CANDY COMPANY,RUNTS,UNKNOWN_226968
227602,Snacks,Chips,,,PEPSICO,BARE SNACKS,UNKNOWN_227602
227738,Health & Wellness,Bath & Body,Body Wash,,PDC BRANDS,DR TEAL'S,UNKNOWN_227738
227750,Health & Wellness,Skin Care,Eye Creams,,COTY,SKKN,UNKNOWN_227750
227839,Health & Wellness,Hair Removal,Shaving Gel & Cream,Men's Shaving Gel & Cream,UNILEVER,DOVE MEN+CARE,UNKNOWN_227839
229142,Snacks,Cookies,,,FERRERO GROUP,ROYAL DANSK,UNKNOWN_229142
229510,Snacks,Fruit & Vegetable Snacks,Fruit Snacks,,GENERAL MILLS,MOTT'S FRUIT SNACKS,UNKNOWN_229510
229794,Health & Wellness,Hair Removal,Razors,,MERIDIAN,MERIDIAN,UNKNOWN_229794
230625,Snacks,Fruit & Vegetable Snacks,Dried Fruit,,PEPSICO,NATUCHIPS PLANTAIN CHIPS,UNKNOWN_230625
230886,Snacks,Candy,Chocolate Candy,,THE HERSHEY COMPANY,ZERO,UNKNOWN_230886
231224,Health & Wellness,Deodorant & Antiperspirant,Gender Neutral Deodorant & Antiperspirant,,PDC BRANDS,DR TEAL'S,UNKNOWN_231224
231265,Snacks,Dips & Salsa,,,KRAFTHEINZ,CHEEZ WHIZ,UNKNOWN_231265
231293,Snacks,,,,KELLANOVA,RICE KRISPIES TREATS,UNKNOWN_231293
231721,Health & Wellness,Skin Care,Skin Toners & Astringents,,COTY,KYLIE SKIN,UNKNOWN_231721
231795,Snacks,Pretzels,,,CAMPBELL SOUP COMPANY,SNYDERS OF HANOVER,UNKNOWN_231795
232171,Snacks,Trail Mix,,,GENERAL MILLS,CHEX MIX,UNKNOWN_232171
232243,Snacks,Pudding & Gelatin,Ready-to-Eat Dessert Cups,,THE HERSHEY COMPANY,MOUNDS,UNKNOWN_232243
232439,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,DOVE MEN+CARE,UNKNOWN_232439
232460,Snacks,Snack Cakes,Rice Treats,,,,UNKNOWN_232460
232566,Health & Wellness,,,,BAYER,AFRIN®,UNKNOWN_232566
232843,Snacks,,,,GENERAL MILLS,EPIC,UNKNOWN_232843
232987,Health & Wellness,Deodorant & Antiperspirant,Men's Deodorant & Antiperspirant,,COTY,DAVID BECKHAM FRAGRANCE & BODY CARE,UNKNOWN_232987
233335,Health & Wellness,Skin Care,Acne Treatments & Kits,,JOHNSON & JOHNSON,NEUTROGENA,UNKNOWN_233335
233437,Snacks,Dips & Salsa,,,T. MARZETTI COMPANY,MARZETTI,UNKNOWN_233437
233478,Health & Wellness,Sexual Health,,,,,UNKNOWN_233478
233516,Snacks,Chips,Tortilla Chips,,PEPSICO,SANTITAS,UNKNOWN_233516
233713,Snacks,,,,FERRARA CANDY COMPANY,BOSTON BAKED BEANS,UNKNOWN_233713
233844,Snacks,Nuts & Seeds,Chestnuts,,,,UNKNOWN_233844
234175,Snacks,Dessert Toppings,Ice Cream Sauces & Syrups,,THE HERSHEY COMPANY,HEATH,UNKNOWN_234175
234591,Snacks,Candy,Chocolate Candy,,CAMPBELL SOUP COMPANY,LANCE,UNKNOWN_234591
235006,Snacks,Fruit & Vegetable Snacks,,,GENERAL MILLS,MOTT'S FRUIT SNACKS,UNKNOWN_235006
235369,Snacks,Snack Bars,,,MONDELĒZ INTERNATIONAL,PERFECT BAR,UNKNOWN_235369
236099,Health & Wellness,Medicines & Treatments,,,CHURCH & DWIGHT,THERABREATH,UNKNOWN_236099
236130,Snacks,Candy,,,UNILEVER,DOVE,UNKNOWN_236130
236274,Health & Wellness,Hair Removal,,,COTY,MARC JACOBS FRAGRANCE & BODY CARE,UNKNOWN_236274
236275,Health & Wellness,Medicines & Treatments,,,JOHNSON & JOHNSON,BENADRYL,UNKNOWN_236275
236382,Health & Wellness,Medicines & Treatments,Sleeping & Snoring,Sleep Aids,RECKITT BENCKISER,SCHIFF,UNKNOWN_236382
236657,Snacks,Candy,,,THE HERSHEY COMPANY,MOUNDS,UNKNOWN_236657
237249,Health & Wellness,Medicines & Treatments,Digestive Health Medicines & Treatments,,PROCTER & GAMBLE,PEPTO BISMOL,UNKNOWN_237249
237252,Snacks,Candy,,,THE HERSHEY COMPANY,GOOD & PLENTY,UNKNOWN_237252
237401,Health & Wellness,Hair Care,Conditioner,,PROCTER & GAMBLE,MY BLACK IS BEAUTIFUL,UNKNOWN_237401
237523,Health & Wellness,Hair Care,Conditioner,,JOHNSON & JOHNSON,MAUI MOISTURE,UNKNOWN_237523
237528,Snacks,Candy,,,MARS WRIGLEY,WINTERFRESH,UNKNOWN_237528
237564,Health & Wellness,Skin Care,,,JOHNSON & JOHNSON,LE PETIT MARSEILLAIS,UNKNOWN_237564
237847,Snacks,Dips & Salsa,Hummus,,"FRANK BRUNCKHORST CO., LLC",BOAR'S HEAD,UNKNOWN_237847
237871,Health & Wellness,Bath & Body,,,HENKEL,DIAL,UNKNOWN_237871
237953,Snacks,Pudding & Gelatin,,,KRAFTHEINZ,JELL-O REFRIGERATED PUDDING & GELATIN,UNKNOWN_237953
238064,Pantry,"Cereal, Granola, & Toaster Pastries",,,GENERAL MILLS,CHEERIOS,UNKNOWN_238064
238596,Snacks,Candy,,,FERRARA CANDY COMPANY,NIPS,UNKNOWN_238596
238776,Snacks,,,,MONDELĒZ INTERNATIONAL,PREMIUM CRACKERS,UNKNOWN_238776
238931,Health & Wellness,Sexual Health,Conductivity Gels & Lotions,,CHURCH & DWIGHT,FIRST RESPONSE,UNKNOWN_238931
238941,Snacks,Dips & Salsa,Other Dips,,HORMEL FOODS,WHOLLY,UNKNOWN_238941
239043,Snacks,,,,GENERAL MILLS,FRUIT GUSHERS,UNKNOWN_239043
239058,Snacks,,,,PEPSICO,CHESTER'S,UNKNOWN_239058
239342,Snacks,Dips & Salsa,Dip Mixes,,PEPSICO,DORITOS,UNKNOWN_239342
239379,Dairy,Cheese,Shredded & Grated Cheese,,SARGENTO,SARGENTO,UNKNOWN_239379
239621,Health & Wellness,Menstrual Care,Menstrual Care Pads,,KIMBERLY CLARK,LA VIE,UNKNOWN_239621
239856,Snacks,,,,CAMPBELL SOUP COMPANY,MILANO,UNKNOWN_239856
240078,Health & Wellness,Bath & Body,Liquid Hand Soap,,KAO USA,MYKIREI BY KAO,UNKNOWN_240078
240525,Health & Wellness,Hair Care,Conditioner,,PROCTER & GAMBLE,NATIVE,UNKNOWN_240525
240637,Snacks,Chips,,,PEPSICO,FRITOS,UNKNOWN_240637
240653,Health & Wellness,Medicines & Treatments,,,BAYER,CORICIDIN® HBP,UNKNOWN_240653
240909,Health & Wellness,Oral Care,,,CHURCH & DWIGHT,CLOSE-UP,UNKNOWN_240909
241008,Health & Wellness,Hair Removal,,,PROCTER & GAMBLE,THE ART OF SHAVING,UNKNOWN_241008
241152,Snacks,Pudding & Gelatin,,,KRAFTHEINZ,COLLIDERS,UNKNOWN_241152
241480,Snacks,Crackers,Cheese Crackers,,KELLANOVA,CHEEZ-IT,UNKNOWN_241480
241595,Health & Wellness,Hair Removal,Shaving Gel & Cream,Women's Shaving Gel & Cream,,,UNKNOWN_241595
241717,Pantry,,,,GENERAL MILLS,CHEERIOS,UNKNOWN_241717
241718,Health & Wellness,Skin Care,,,HALEON,ABREVA,UNKNOWN_241718
241778,Snacks,,,,FERRERO GROUP,GOOBERS,UNKNOWN_241778
242228,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,PROCTER & GAMBLE,NERVIVE,UNKNOWN_242228
242510,Health & Wellness,Hair Care,Shampoo,,HENKEL,TEC ITALY,UNKNOWN_242510
242717,Snacks,,,,GENERAL MILLS,ANNIE'S HOMEGROWN GROCERY,UNKNOWN_242717
242738,Health & Wellness,Medicines & Treatments,,,CHURCH & DWIGHT,TROJAN,UNKNOWN_242738
242936,Snacks,Pudding & Gelatin,,,THE HERSHEY COMPANY,MOUNDS,UNKNOWN_242936
242977,Health & Wellness,,,,HALEON,FENISTIL,UNKNOWN_242977
243530,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,NESTLE HEALTH SCIENCE,VITAL PROTEINS,UNKNOWN_243530
243787,Health & Wellness,Oral Care,Teeth Whitening,,PROCTER & GAMBLE,CREST,UNKNOWN_243787
244169,Health & Wellness,,,,JOHNSON & JOHNSON,EXUVIANCE,UNKNOWN_244169
244401,Beverages,Water,Sparkling Water,Unflavored Sparkling Water,PEPSICO,BUBLY SPARKLING WATER,UNKNOWN_244401
244534,Health & Wellness,Medicines & Treatments,,,BAYER,MIDOL® COMPLETE,UNKNOWN_244534
244535,Snacks,Dessert Toppings,,,FERRERO GROUP,BUTTERFINGER,UNKNOWN_244535
245376,Alcohol,Wine,White Wine,Sauvignon Blanc,GALLO,BAREFOOT,UNKNOWN_245376
245577,Snacks,,,,PEPSICO,MINIS,UNKNOWN_245577
245693,Health & Wellness,,,,BAYER,PHILLIPS'®,UNKNOWN_245693
245767,Snacks,Fruit & Vegetable Snacks,Fruit Snacks,,GENERAL MILLS,ANNIE'S HOMEGROWN GROCERY,UNKNOWN_245767
246073,Snacks,Puffed Snacks,,,PEPSICO,SMARTFOOD,UNKNOWN_246073
246082,Health & Wellness,Skin Care,Skin Care Masks & Peels,,COLGATE-PALMOLIVE,PCA SKIN,UNKNOWN_246082
246196,Health & Wellness,Skin Care,Skin Care Masks & Peels,,UNILEVER,SIMPLE SKIN CARE,UNKNOWN_246196
246260,Snacks,Candy,,,THE HERSHEY COMPANY,SKOR,UNKNOWN_246260
246277,Snacks,Puffed Snacks,,,CONAGRA,POPPYCOCK,UNKNOWN_246277
246383,Snacks,Snack Bars,,,THE JM SMUCKER COMPANY,JIF,UNKNOWN_246383
246715,Snacks,Snack Bars,,,GENERAL MILLS,FIBER ONE,UNKNOWN_246715
247278,Health & Wellness,Hair Care,Shampoo,,KAO USA,MYKIREI BY KAO,UNKNOWN_247278
247366,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,BAYER,CITRACAL®,UNKNOWN_247366
247698,Health & Wellness,Hair Removal,Shaving Gel & Cream,,COTY,NAUTICA FRAGRANCE & BODY CARE,UNKNOWN_247698
248302,Health & Wellness,,,,UNILEVER,SHEA MOISTURE,UNKNOWN_248302
248782,Snacks,Candy,Gum,,,,UNKNOWN_248782
248987,Snacks,Snack Mixes,,,GENERAL MILLS,PILLSBURY,UNKNOWN_248987
248998,Snacks,,,,NESTLE,ABUELITA,UNKNOWN_248998
249196,Snacks,Fruit & Vegetable Snacks,,,"WELCH FOODS, INC",WELCH'S JUICES & FRUIT SPREADS,UNKNOWN_249196
249480,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,JOHNSON & JOHNSON,CLEAN & CLEAR,UNKNOWN_249480
249791,Health & Wellness,Hair Care,,,UNILEVER,NEXXUS,UNKNOWN_249791
250117,Health & Wellness,Skin Care,Tattoo Care,,BAYER,A+D TATTOO,UNKNOWN_250117
250272,Health & Wellness,Oral Care,Oral Care Accessories,,CHURCH & DWIGHT,SPINBRUSH,UNKNOWN_250272
250353,Health & Wellness,Bath & Body,Hand & Body Lotions,,PDC BRANDS,DR TEAL'S,UNKNOWN_250353
250402,Health & Wellness,,,,COTY,RIMMEL LONDON,UNKNOWN_250402
250504,Snacks,Dessert Toppings,,,GENERAL MILLS,TASTY,UNKNOWN_250504
250560,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,CHURCH & DWIGHT,VIVISCAL,UNKNOWN_250560
250561,Snacks,Candy,Chocolate Candy,,MONDELĒZ INTERNATIONAL,PERFECT SNACKS,UNKNOWN_250561
250788,Snacks,,,,KRAFTHEINZ,DREAM WHIP,UNKNOWN_250788
250928,Health & Wellness,Hair Care,Shampoo,,ELIDA BEAUTY,TONI&GUY,UNKNOWN_250928
251210,Health & Wellness,Bath & Body,Hand & Body Lotions,,COTY,ESCADA FRAGRANCE & BODY CARE,UNKNOWN_251210
