,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
60435,Health & Wellness,Skin Care,,,UNILEVER,APOTHECARE ESSENTIALS,UNKNOWN_60435
60741,Snacks,Crackers,,,MONDELĒZ INTERNATIONAL,SOCIABLES,UNKNOWN_60741
60787,Health & Wellness,Medicines & Treatments,,,HALEON,CITRUCEL,UNKNOWN_60787
60946,Health & Wellness,Skin Care,Facial Lotion & Moisturizer,,"BEIERSDORF, INC.",AQUAPHOR,UNKNOWN_60946
61013,Snacks,Pretzels,,,PEPSICO,ROLD GOLD PRETZELS,UNKNOWN_61013
61021,Health & Wellness,,,,BIC USA INC,BIC,UNKNOWN_61021
61294,Health & Wellness,Bath & Body,Liquid Hand Soap,,COLGATE-PALMOLIVE,SOFTSOAP,UNKNOWN_61294
61401,Health & Wellness,Bath & Body,Bath & Body Gift Sets,,COTY,DAVID BECKHAM FRAGRANCE & BODY CARE,UNKNOWN_61401
61465,Snacks,,,,MARS WRIGLEY,ALTOIDS,UNKNOWN_61465
61980,Health & Wellness,Medicines & Treatments,Cough & Cold Medicines & Treatments,,RECKITT BENCKISER,AIRBORNE,UNKNOWN_61980
62559,Snacks,,,,GENERAL MILLS,GODIVA BAKING MIXES,UNKNOWN_62559
62586,Snacks,Snack Bars,Performance & Protein Bars,,MONDELĒZ INTERNATIONAL,PERFECT BAR,UNKNOWN_62586
63269,Snacks,Dips & Salsa,Salsa,,HORMEL FOODS,CHI-CHI'S,UNKNOWN_63269
63516,Health & Wellness,Skin Care,Eye Creams,,JOHNSON & JOHNSON,EXUVIANCE,UNKNOWN_63516
63531,Snacks,Puffed Snacks,Popcorn,Already Popped Popcorn,THE HERSHEY COMPANY,LILY'S,UNKNOWN_63531
63610,Snacks,Candy,,,FERRARA CANDY COMPANY,BRACH'S,UNKNOWN_63610
64188,Health & Wellness,Medicines & Treatments,Digestive Health Medicines & Treatments,,JOHNSON & JOHNSON,PEPCID,UNKNOWN_64188
64245,Health & Wellness,Deodorant & Antiperspirant,,,COTY,ADIDAS FRAGRANCE & BODY CARE,UNKNOWN_64245
64612,Snacks,Snack Bars,,,GENERAL MILLS,BETTY CROCKER,UNKNOWN_64612
64647,Health & Wellness,Bath & Body,Hand & Body Lotions,,JOHNSON & JOHNSON,AVEENO,UNKNOWN_64647
64750,Health & Wellness,,,,KAO USA,JERGENS,UNKNOWN_64750
64919,Health & Wellness,Bath & Body,Hand Sanitizer,,UNILEVER,FIND YOUR HAPPY PLACE,UNKNOWN_64919
65121,Health & Wellness,Medicines & Treatments,Digestive Health Medicines & Treatments,Nausea & Motion Sickness Medicines & Treatments,BOIRON,BOIRON,UNKNOWN_65121
65311,Snacks,Fruit & Vegetable Snacks,Fruit Snacks,,"WELCH FOODS, INC",WELCH'S JUICES & FRUIT SPREADS,UNKNOWN_65311
